"Plot Title: Clam-Bay-Beach"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137186, SEN S/N: 20137186)","Intensity, lum/ft² (LGR S/N: 20137186, SEN S/N: 20137186)","Host Connected (LGR S/N: 20137186)","Coupler Attached (LGR S/N: 20137186)","Stopped (LGR S/N: 20137186)","End Of File (LGR S/N: 20137186)"
150,06/10/18 10:30:00 PM,12.013,0.0,,,,
151,06/10/18 11:00:00 PM,12.013,0.0,,,,
152,06/10/18 11:30:00 PM,12.013,0.0,,,,
153,06/11/18 12:00:00 AM,11.916,0.0,,,,
154,06/11/18 12:30:00 AM,11.916,0.0,,,,
155,06/11/18 01:00:00 AM,11.819,0.0,,,,
156,06/11/18 01:30:00 AM,11.819,0.0,,,,
157,06/11/18 02:00:00 AM,11.722,0.0,,,,
158,06/11/18 02:30:00 AM,11.625,0.0,,,,
159,06/11/18 03:00:00 AM,11.625,0.0,,,,
160,06/11/18 03:30:00 AM,11.528,0.0,,,,
161,06/11/18 04:00:00 AM,11.528,0.0,,,,
162,06/11/18 04:30:00 AM,11.528,0.0,,,,
163,06/11/18 05:00:00 AM,11.431,0.0,,,,
164,06/11/18 05:30:00 AM,11.431,0.0,,,,
165,06/11/18 06:00:00 AM,11.431,0.0,,,,
166,06/11/18 06:30:00 AM,11.431,0.0,,,,
167,06/11/18 07:00:00 AM,11.528,0.0,,,,
168,06/11/18 07:30:00 AM,11.528,0.0,,,,
169,06/11/18 08:00:00 AM,11.625,0.0,,,,
170,06/11/18 08:30:00 AM,11.625,3.0,,,,
171,06/11/18 09:00:00 AM,11.819,3.0,,,,
172,06/11/18 09:30:00 AM,11.916,3.0,,,,
173,06/11/18 10:00:00 AM,12.013,5.0,,,,
174,06/11/18 10:30:00 AM,12.207,3.0,,,,
175,06/11/18 11:00:00 AM,12.304,4.0,,,,
176,06/11/18 11:30:00 AM,12.497,3.0,,,,
177,06/11/18 12:00:00 PM,12.594,4.0,,,,
178,06/11/18 12:30:00 PM,12.690,4.0,,,,
179,06/11/18 01:00:00 PM,12.787,4.0,,,,
180,06/11/18 01:30:00 PM,12.980,4.0,,,,
181,06/11/18 02:00:00 PM,12.980,0.0,,,,
182,06/11/18 02:30:00 PM,12.980,0.0,,,,
183,06/11/18 03:00:00 PM,12.980,3.0,,,,
184,06/11/18 03:30:00 PM,13.076,2.0,,,,
185,06/11/18 04:00:00 PM,12.980,0.0,,,,
186,06/11/18 04:30:00 PM,12.883,0.0,,,,
187,06/11/18 05:00:00 PM,12.787,0.0,,,,
188,06/11/18 05:30:00 PM,12.690,0.0,,,,
189,06/11/18 06:00:00 PM,12.690,0.0,,,,
190,06/11/18 06:30:00 PM,12.594,0.0,,,,
191,06/11/18 07:00:00 PM,12.594,0.0,,,,
192,06/11/18 07:30:00 PM,12.497,0.0,,,,
193,06/11/18 08:00:00 PM,12.497,0.0,,,,
194,06/11/18 08:30:00 PM,12.401,0.0,,,,
195,06/11/18 09:00:00 PM,12.401,0.0,,,,
196,06/11/18 09:30:00 PM,12.304,0.0,,,,
197,06/11/18 10:00:00 PM,12.304,0.0,,,,
198,06/11/18 10:30:00 PM,12.207,0.0,,,,
199,06/11/18 11:00:00 PM,12.110,0.0,,,,
200,06/11/18 11:30:00 PM,12.110,0.0,,,,
201,06/12/18 12:00:00 AM,12.110,0.0,,,,
202,06/12/18 12:30:00 AM,12.207,0.0,,,,
